,2025. 10. 15.,2025. 10. 16.,2025. 10. 17.,2025. 10. 20.,2025. 10. 21.,2025. 10. 22.,2025. 10. 23.,2025. 10. 24.,2025. 10. 27.,2025. 10. 28.,2025. 10. 29.,2025. 10. 30.,2025. 10. 31.,2025. 11. 1.
최종 수익률,0.0000%,0.2579%,0.0286%,0.0146%,0.4266%,0.2977%,1.7781%,1.4073%,2.0708%,2.4170%,2.3009%,1.8725%,0.7278%,0.7925%
총 수익,₩0,"₩964,658","₩107,063","₩54,599","₩1,595,490","₩1,113,471","₩6,650,138","₩5,263,223","₩7,744,808","₩9,039,650","₩8,605,306","₩7,003,029","₩2,721,901","₩2,964,008"
최종 보유 자산,"₩374,000,000","₩374,964,658","₩373,892,937","₩373,945,401","₩375,595,490","₩375,113,471","₩380,650,138","₩379,263,223","₩381,744,808","₩383,039,650","₩382,605,306","₩381,003,029","₩376,721,901","₩376,964,008"
누적 (+) 수익률 수,0,4,12,14,29,35,58,57,68,84,86,83,72,77
누적 (0) 수익률 수,5,20,21,13,17,19,20,16,15,20,17,14,5,5
누적 (-) 수익률 수,0,1,12,30,28,36,31,51,54,51,67,85,107,105
당일 (+) 수익률 수,0,4,12,14,28,34,57,55,64,77,77,74,61,61
당일 (0) 수익률 수,5,20,21,13,17,19,20,16,15,20,17,14,5,4
당일 (-) 수익률 수,0,1,11,26,20,27,20,39,38,34,46,59,77,58
수익률 max,0.0000%,3.6750%,7.1400%,15.8100%,13.0900%,13.0900%,29.9280%,68.8000%,113.3480%,91.5040%,29.7660%,22.3860%,22.1560%,34.7200%
수익률 min,0.0000%,1.6282%,4.1050%,4.3460%,4.5600%,7.4250%,6.5925%,5.5525%,6.6190%,5.0260%,5.8000%,7.3500%,13.2349%,14.5775%
실현수익,₩0,"₩32,565","₩193,310","₩300,120","₩147,200","₩173,580","₩36,150","₩62,910","₩50,527","₩1,645,414","₩214,090","₩195,570","₩1,174,149","₩541,380"
실현수익 누적,₩0,"₩32,565","₩225,875","₩525,995","₩673,195","₩846,775","₩882,925","₩820,015","₩769,488","₩875,926","₩661,836","₩857,406","₩316,743","₩858,123"